index,carat,cut,color,clarity,depth,table,x,y,z,price
3022,0.9,Very Good,I,SI1,62.3,56.0,6.12,6.18,3.83,Very Low
3023,0.9,Ideal,I,SI1,60.8,57.0,6.22,6.25,3.79,Very Low
3024,0.73,Premium,D,VS2,59.8,58.0,5.85,5.89,3.51,Very Low
3025,0.81,Very Good,F,SI1,62.2,56.0,5.97,5.99,3.72,Very Low
3026,0.66,Very Good,E,VVS1,61.8,55.0,5.6,5.66,3.48,Very Low
3027,0.77,Ideal,D,SI1,60.8,57.0,5.9,5.94,3.6,Very Low
3028,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,Very Low
3029,0.7,Ideal,H,IF,61.3,59.0,5.69,5.72,3.5,Very Low
3030,1.01,Very Good,I,SI2,63.2,58.0,6.34,6.31,4.0,Very Low
3031,0.31,Ideal,D,SI1,62.2,54.0,4.36,4.39,2.72,Very Low
3032,0.31,Ideal,D,SI1,61.3,55.0,4.36,4.41,2.69,Very Low
3033,0.26,Very Good,H,VVS2,63.4,55.0,4.06,4.05,2.57,Very Low
3034,0.26,Premium,H,VVS2,59.8,61.0,4.18,4.15,2.49,Very Low
3035,0.41,Good,J,VS2,64.0,59.0,4.64,4.71,2.99,Very Low
3036,0.31,Ideal,G,VVS2,62.2,55.0,4.32,4.36,2.7,Very Low
3037,0.3,Good,G,VS1,63.4,55.0,4.26,4.32,2.72,Very Low
3038,0.3,Good,G,VS1,63.5,58.0,4.21,4.26,2.69,Very Low
3039,0.3,Good,F,VS2,63.4,59.0,4.23,4.25,2.69,Very Low
3040,0.3,Very Good,G,VS1,60.2,62.0,4.3,4.31,2.59,Very Low
3041,0.3,Good,G,VS1,63.3,56.0,4.28,4.31,2.72,Very Low
3042,0.3,Very Good,G,VS1,62.0,60.0,4.27,4.31,2.66,Very Low
3043,0.3,Ideal,F,VS2,62.4,57.0,4.29,4.33,2.69,Very Low
3044,0.3,Very Good,G,VS1,60.8,61.0,4.31,4.34,2.63,Very Low
3045,0.27,Very Good,G,VVS1,60.1,58.0,4.21,4.23,2.53,Very Low
3046,0.27,Very Good,G,VVS1,62.9,55.0,4.12,4.15,2.6,Very Low
3047,0.27,Very Good,G,VVS1,62.5,56.0,4.14,4.16,2.59,Very Low
3048,0.27,Very Good,G,VVS1,61.0,56.0,4.21,4.25,2.57,Very Low
3049,0.27,Very Good,G,VVS1,62.9,55.0,4.13,4.15,2.6,Very Low
3050,0.27,Very Good,G,IF,60.8,57.0,4.2,4.22,2.56,Very Low
3051,0.27,Ideal,G,VVS2,60.8,57.0,4.18,4.2,2.54,Very Low
3052,0.38,Ideal,G,SI2,62.8,57.0,4.58,4.59,2.88,Very Low
3053,0.27,Ideal,H,IF,61.6,56.0,4.18,4.21,2.58,Very Low
3054,0.27,Ideal,G,IF,61.6,57.0,4.18,4.21,2.58,Very Low
3055,0.35,Premium,H,SI2,61.6,58.0,4.54,4.49,2.78,Very Low
3056,0.34,Premium,F,SI1,59.3,60.0,4.52,4.58,2.7,Very Low
3057,0.34,Very Good,F,SI1,59.4,62.0,4.54,4.59,2.71,Very Low
3058,0.34,Very Good,F,SI1,63.0,54.0,4.48,4.5,2.83,Very Low
3059,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,Very Low
3060,0.34,Premium,F,SI1,59.8,58.0,4.53,4.57,2.72,Very Low
3061,0.7,Good,F,VVS1,63.3,56.0,5.64,5.7,3.59,Very Low
3062,0.73,Ideal,E,VS2,61.5,56.0,5.79,5.82,3.57,Very Low
3063,0.62,Ideal,G,IF,61.8,56.0,5.45,5.48,3.38,Very Low
3064,0.76,Premium,H,VVS1,60.7,58.0,5.9,5.93,3.59,Very Low
3065,0.73,Ideal,E,VS1,62.3,56.0,5.8,5.75,3.6,Very Low
3066,0.73,Premium,E,VS1,61.2,58.0,5.83,5.77,3.55,Very Low
3067,0.81,Premium,G,VS1,62.1,58.0,5.96,5.92,3.69,Very Low
3068,0.81,Premium,F,SI1,61.6,58.0,5.96,5.92,3.66,Very Low
3069,0.73,Premium,E,VS1,60.9,61.0,5.81,5.79,3.53,Very Low
3070,0.8,Premium,D,SI1,62.7,59.0,5.89,5.85,3.68,Very Low
3071,0.7,Good,D,VVS2,63.6,57.0,5.61,5.58,3.56,Very Low
3072,0.8,Premium,D,SI1,61.7,58.0,5.96,5.93,3.67,Very Low
3073,0.84,Good,G,VS2,63.6,59.0,5.94,5.89,3.76,Very Low
3074,0.9,Premium,D,SI2,58.1,60.0,6.26,6.24,3.63,Very Low
3075,0.96,Good,J,VS2,63.9,58.0,6.27,6.21,3.99,Very Low
3076,1.24,Ideal,I,SI2,62.5,57.0,6.89,6.84,4.29,Very Low
3077,0.9,Premium,D,SI2,62.5,59.0,6.18,6.13,3.85,Very Low
3078,0.74,Premium,E,VS1,61.2,58.0,5.88,5.82,3.58,Very Low
3079,0.7,Good,D,VVS2,63.7,55.0,5.66,5.61,3.59,Very Low
3080,0.9,Premium,D,SI2,61.0,61.0,6.17,6.15,3.76,Very Low
3081,1.24,Ideal,J,SI1,62.3,57.0,6.86,6.81,4.26,Very Low
3082,0.57,Ideal,F,VVS1,61.3,56.0,5.37,5.4,3.3,Very Low
3083,1.02,Premium,H,SI2,58.3,59.0,6.61,6.57,3.84,Very Low
3084,0.95,Very Good,J,VS2,63.5,56.0,6.24,6.27,3.97,Very Low
3085,0.81,Very Good,H,VS1,62.2,57.0,5.91,5.94,3.69,Very Low
3086,0.75,Very Good,E,VS1,61.5,54.0,5.88,5.82,3.6,Very Low
3087,0.83,Ideal,I,SI1,61.9,57.0,5.96,6.02,3.71,Very Low
3088,0.74,Ideal,E,VS2,61.7,56.0,5.86,5.81,3.6,Very Low
3089,0.84,Good,G,VS1,63.6,57.0,5.98,5.93,3.79,Very Low
3090,0.71,Ideal,D,SI1,62.3,56.0,5.72,5.7,3.56,Very Low
3091,0.93,Premium,F,SI2,61.3,62.0,6.26,6.17,3.81,Very Low
3092,0.77,Very Good,E,VS1,62.0,56.0,5.88,5.92,3.66,Very Low
3093,0.9,Good,F,SI2,63.2,56.0,6.15,6.2,3.9,Very Low
3094,0.9,Good,F,SI2,63.2,58.0,6.09,6.12,3.86,Very Low
3095,0.79,Ideal,E,VS2,59.3,57.0,6.06,6.02,3.58,Very Low
3096,0.92,Premium,G,SI2,62.3,59.0,6.2,6.15,3.85,Very Low
3097,0.73,Ideal,D,VS2,61.8,54.0,5.89,5.92,3.65,Very Low
3098,0.7,Ideal,F,VS1,61.5,55.0,5.73,5.75,3.53,Very Low
3099,1.02,Ideal,G,I1,61.5,56.0,6.46,6.49,3.98,Very Low
3100,0.52,Ideal,D,VVS1,60.9,56.0,5.2,5.24,3.18,Very Low
3101,0.71,Ideal,D,VS2,62.1,56.0,5.71,5.75,3.56,Very Low
3102,0.71,Ideal,D,VS2,61.2,57.0,5.73,5.77,3.52,Very Low
3103,0.77,Ideal,F,SI1,61.5,55.0,5.88,5.92,3.63,Very Low
3104,1.06,Ideal,G,SI2,61.0,56.0,6.62,6.56,4.02,Very Low
3105,0.83,Very Good,F,SI1,61.9,58.0,5.97,6.01,3.71,Very Low
3106,0.72,Ideal,D,SI1,62.2,56.0,5.77,5.74,3.58,Very Low
3107,0.86,Premium,E,SI1,61.9,61.0,6.07,5.99,3.73,Very Low
3108,0.69,Very Good,G,VVS1,60.8,55.0,5.74,5.77,3.5,Very Low
3109,0.71,Very Good,F,VS2,63.0,54.0,5.7,5.72,3.6,Very Low
3110,0.74,Very Good,E,VS2,62.8,58.0,5.73,5.76,3.61,Very Low
3111,0.53,Ideal,E,VVS1,61.5,54.0,5.23,5.25,3.22,Very Low
3112,0.81,Fair,G,VVS2,64.8,56.2,5.82,5.98,3.82,Very Low
3113,0.92,Very Good,I,SI1,63.3,58.0,6.18,6.14,3.9,Very Low
3114,0.92,Ideal,I,SI1,61.8,57.0,6.27,6.25,3.87,Very Low
3115,0.91,Good,H,SI1,63.8,56.0,6.09,6.04,3.87,Very Low
3116,0.92,Fair,F,SI1,66.0,57.0,6.04,5.99,3.97,Very Low
3117,0.81,Good,D,SI1,64.1,54.0,5.92,5.96,3.81,Very Low
3118,0.9,Very Good,H,SI2,62.0,58.0,6.11,6.12,3.79,Very Low
3119,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,Very Low
3120,0.7,Ideal,H,VVS2,61.8,55.0,5.69,5.74,3.53,Very Low
3121,0.7,Ideal,H,VVS2,61.0,56.0,5.75,5.78,3.52,Very Low
3122,0.7,Ideal,H,VVS2,60.9,56.0,5.76,5.79,3.52,Very Low
3123,0.78,Ideal,G,VS2,62.6,57.0,5.87,5.91,3.69,Very Low
3124,0.96,Ideal,J,VS2,61.5,57.0,6.32,6.36,3.9,Very Low
3125,0.9,Premium,H,SI2,62.1,59.0,6.13,6.04,3.78,Very Low
3126,0.78,Ideal,D,SI1,61.2,58.0,5.92,5.95,3.63,Very Low
3127,0.9,Fair,F,SI1,65.3,61.0,6.0,5.95,3.9,Very Low
3128,0.9,Premium,H,SI2,59.2,60.0,6.3,6.24,3.71,Very Low
3129,0.72,Ideal,G,VVS1,61.7,55.0,5.8,5.77,3.57,Very Low
3130,0.9,Premium,G,SI1,60.1,59.0,6.25,6.2,3.74,Very Low
3131,0.9,Premium,G,SI2,59.5,61.0,6.33,6.28,3.75,Very Low
3132,0.73,Ideal,E,VS1,62.8,57.0,5.75,5.78,3.62,Very Low
3133,0.79,Ideal,D,SI1,61.3,54.0,5.96,6.01,3.67,Very Low
3134,0.73,Ideal,E,VS2,62.2,56.0,5.76,5.78,3.59,Very Low
3135,0.74,Very Good,G,VVS1,63.2,56.0,5.74,5.72,3.62,Very Low
3136,0.82,Ideal,E,SI2,60.9,56.0,6.06,6.12,3.71,Very Low
3137,0.88,Ideal,I,SI1,61.7,56.0,6.14,6.18,3.8,Very Low
3138,1.27,Ideal,I,I1,62.3,56.0,6.91,6.86,4.29,Very Low
3139,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,Very Low
3140,0.72,Ideal,F,VS1,62.5,54.0,5.73,5.76,3.59,Very Low
3141,0.7,Ideal,E,SI1,61.9,56.0,5.7,5.73,3.54,Very Low
3142,0.7,Ideal,E,SI1,61.1,56.0,5.75,5.78,3.52,Very Low
3143,0.7,Ideal,E,SI1,61.6,56.0,5.7,5.72,3.52,Very Low
3144,0.71,Very Good,F,VVS2,63.6,56.0,5.65,5.7,3.61,Very Low
3145,0.71,Very Good,D,VS1,64.1,57.0,5.64,5.66,3.62,Very Low
3146,0.71,Ideal,G,VVS1,61.4,59.0,5.7,5.76,3.52,Very Low
3147,0.77,Ideal,H,VS2,60.9,56.0,5.89,5.94,3.61,Very Low
3148,0.71,Ideal,E,VS1,61.8,55.0,5.72,5.77,3.55,Very Low
3149,0.9,Fair,E,SI1,65.0,61.0,6.05,6.02,3.92,Very Low
3150,0.9,Good,E,SI1,63.8,61.0,6.08,6.05,3.87,Very Low
3151,0.92,Ideal,J,VS1,62.4,56.0,6.23,6.19,3.88,Very Low
3152,0.98,Fair,G,SI2,66.6,56.0,6.12,6.02,4.04,Very Low
3153,0.6,Very Good,F,VVS1,61.2,58.0,5.42,5.46,3.33,Very Low
3154,0.71,Very Good,D,VS1,62.5,58.0,5.68,5.71,3.56,Very Low
3155,0.93,Premium,F,SI2,60.0,60.0,6.36,6.31,3.8,Very Low
3156,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,Very Low
3157,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,Very Low
3158,0.78,Very Good,E,VS2,61.7,58.0,5.9,5.93,3.65,Very Low
3159,0.78,Ideal,E,VS2,62.0,55.0,5.89,5.95,3.67,Very Low
3160,0.72,Ideal,H,VVS2,61.6,56.0,5.75,5.77,3.55,Very Low
3161,0.95,Very Good,H,SI2,59.0,59.0,6.38,6.51,3.77,Very Low
3162,0.92,Good,D,SI2,57.8,63.0,6.36,6.4,3.69,Very Low
3163,0.7,Ideal,D,VS1,62.0,57.0,5.69,5.76,3.55,Very Low
3164,0.94,Premium,H,SI2,61.9,57.0,6.29,6.21,3.87,Very Low
3165,0.64,Ideal,F,VVS2,61.0,56.0,5.55,5.59,3.4,Very Low
3166,0.61,Ideal,D,VVS2,60.1,57.0,5.53,5.58,3.34,Very Low
3167,0.75,Ideal,F,SI1,61.5,55.0,5.88,5.9,3.62,Very Low
3168,0.75,Ideal,F,SI1,61.8,56.0,5.84,5.87,3.62,Very Low
3169,1.01,Premium,I,SI1,62.7,58.0,6.4,6.33,3.99,Very Low
3170,0.61,Very Good,E,IF,61.7,58.0,5.39,5.47,3.35,Very Low
3171,0.99,Fair,I,SI1,60.7,66.0,6.42,6.34,3.87,Very Low
3172,1.01,Premium,D,SI2,58.9,59.0,6.54,6.49,3.84,Very Low
3173,0.72,Very Good,F,VVS2,63.4,56.0,5.68,5.71,3.61,Very Low
3174,0.9,Very Good,I,VS2,62.0,63.0,6.13,6.03,3.77,Very Low
3175,0.9,Premium,I,VS2,61.2,62.0,6.19,6.13,3.77,Very Low
3176,0.81,Ideal,E,SI1,61.3,57.0,6.08,6.03,3.71,Very Low
3177,0.9,Ideal,G,SI2,62.5,55.0,6.21,6.15,3.86,Very Low
3178,0.71,Very Good,E,VVS2,63.4,58.0,5.64,5.69,3.59,Very Low
3179,0.91,Good,G,SI2,63.6,59.0,6.11,6.15,3.9,Very Low
3180,0.91,Very Good,I,VS2,63.0,58.0,6.07,6.15,3.85,Very Low
3181,0.91,Good,G,SI2,63.2,61.0,6.01,6.27,3.88,Very Low
3182,0.92,Good,F,SI2,64.2,58.0,6.11,6.14,3.93,Very Low
3183,0.91,Good,G,SI2,63.3,57.0,6.08,6.12,3.86,Very Low
3184,0.74,Ideal,F,VS1,62.0,54.8,5.81,5.83,3.61,Very Low
3185,1.02,Good,I,SI2,57.1,62.0,6.66,6.58,3.78,Very Low
3186,0.73,Ideal,F,VVS1,61.9,56.0,5.83,5.76,3.59,Very Low
3187,0.71,Ideal,E,VS2,61.1,56.0,5.77,5.79,3.53,Very Low
3188,0.73,Ideal,G,VS1,62.0,55.0,5.74,5.79,3.58,Very Low
3189,0.73,Ideal,G,VS1,60.8,58.0,5.81,5.87,3.55,Very Low
3190,0.9,Very Good,E,SI2,63.4,60.0,6.07,6.02,3.83,Very Low
3191,0.9,Fair,E,SI2,64.5,57.0,6.13,6.09,3.94,Very Low
3192,0.78,Premium,F,VS1,60.6,57.0,6.0,5.95,3.62,Very Low
3193,0.78,Ideal,G,VS2,61.1,56.0,5.89,5.96,3.62,Very Low
3194,0.77,Premium,F,VS1,62.1,60.0,5.82,5.77,3.6,Very Low
3195,0.57,Ideal,F,VVS1,61.3,56.0,5.4,5.37,3.3,Very Low
3196,0.71,Very Good,E,VS2,62.5,58.0,5.69,5.73,3.57,Very Low
3197,1.0,Premium,F,I1,62.4,59.0,6.34,6.38,3.97,Very Low
3198,0.91,Good,G,SI1,64.3,60.0,6.04,6.12,3.91,Very Low
3199,0.72,Ideal,G,VS2,61.7,55.0,5.72,5.79,3.55,Very Low
3200,0.92,Very Good,I,SI1,63.7,58.0,6.12,6.18,3.92,Very Low
3201,0.7,Ideal,E,VS1,62.3,54.0,5.67,5.71,3.54,Very Low
3202,0.78,Ideal,E,SI1,61.6,56.0,5.94,6.0,3.68,Very Low
3203,0.77,Ideal,D,SI1,62.5,56.0,5.86,5.91,3.68,Very Low
3204,0.97,Premium,H,SI2,58.8,58.0,6.44,6.41,3.78,Very Low
3205,0.53,Ideal,D,VVS2,61.6,56.0,5.21,5.24,3.22,Very Low
3206,0.73,Ideal,D,VS2,61.5,57.0,5.81,5.83,3.58,Very Low
3207,0.71,Ideal,E,VS1,62.3,56.0,5.69,5.74,3.56,Very Low
3208,0.91,Premium,F,SI2,63.0,59.0,6.17,6.12,3.87,Very Low
3209,0.91,Premium,F,SI2,62.9,57.0,6.16,6.11,3.86,Very Low
3210,0.71,Premium,F,VVS1,58.1,58.0,5.92,5.88,3.43,Very Low
3211,0.83,Premium,D,SI1,62.2,60.0,6.01,5.98,3.73,Very Low
3212,0.7,Premium,F,VVS1,61.8,60.0,5.67,5.63,3.49,Very Low
3213,0.7,Ideal,F,VVS1,62.2,55.0,5.69,5.66,3.53,Very Low
3214,0.9,Good,H,SI2,61.3,61.0,6.11,6.16,3.76,Very Low
3215,1.0,Fair,I,SI2,65.8,58.0,6.23,6.27,4.11,Very Low
3216,1.01,Premium,G,I1,59.4,61.0,6.51,6.45,3.85,Very Low
3217,1.01,Good,I,SI2,64.1,58.0,6.26,6.31,4.03,Very Low
3218,0.91,Good,D,SI2,64.1,62.0,6.06,6.01,3.87,Very Low
3219,0.71,Premium,H,IF,62.9,60.0,5.74,5.67,3.59,Very Low
3220,0.77,Very Good,F,VS1,62.8,58.0,5.79,5.86,3.66,Very Low
3221,0.9,Very Good,G,SI2,63.5,57.0,6.09,6.13,3.88,Very Low
3222,0.9,Good,G,SI2,58.5,61.0,6.28,6.33,3.69,Very Low
3223,0.77,Very Good,D,VS2,63.0,58.0,5.81,5.85,3.67,Very Low
3224,0.94,Very Good,G,SI2,62.3,59.0,6.2,6.26,3.88,Very Low
3225,0.63,Ideal,F,VVS2,61.2,56.0,5.53,5.55,3.39,Very Low
3226,0.76,Ideal,D,VS2,60.2,56.0,5.92,5.95,3.57,Very Low
3227,0.72,Ideal,G,VVS2,61.3,56.0,5.76,5.8,3.54,Very Low
3228,0.72,Ideal,G,VVS2,62.0,55.0,5.72,5.76,3.56,Very Low
3229,0.72,Ideal,G,VVS2,61.2,57.0,5.76,5.77,3.53,Very Low
3230,0.53,Ideal,E,VVS1,61.5,54.0,5.25,5.23,3.22,Very Low
3231,1.05,Premium,H,SI2,62.8,56.0,6.54,6.47,4.08,Very Low
3232,1.05,Premium,H,SI2,61.7,59.0,6.59,6.53,4.05,Very Low
3233,0.74,Premium,D,VS2,59.3,60.0,5.89,5.91,3.5,Very Low
3234,0.73,Very Good,E,VS1,62.1,60.0,5.71,5.79,3.57,Very Low
3235,0.9,Very Good,G,SI2,63.1,59.0,6.11,6.16,3.87,Very Low
3236,0.76,Ideal,D,VS1,61.1,54.0,5.86,5.89,3.59,Very Low
3237,0.9,Good,I,VS2,58.5,66.0,6.23,6.25,3.65,Very Low
3238,0.9,Good,G,SI2,61.3,60.0,6.13,6.2,3.78,Very Low
3239,0.94,Fair,H,SI2,66.0,50.1,6.13,6.17,4.06,Very Low
3240,0.81,Ideal,D,SI1,61.9,57.0,6.01,5.97,3.71,Very Low
3241,0.71,Very Good,F,VVS2,62.1,60.0,5.69,5.72,3.54,Very Low
3242,1.07,Good,F,I1,64.3,59.0,6.37,6.42,4.11,Very Low
3243,0.7,Ideal,G,VVS1,61.9,58.0,5.67,5.74,3.53,Very Low
3244,0.71,Ideal,E,VS1,62.4,57.0,5.67,5.71,3.55,Very Low
3245,0.71,Ideal,H,IF,63.0,57.0,5.68,5.72,3.59,Very Low
3246,0.81,Ideal,I,VS2,61.4,55.0,6.03,6.06,3.71,Very Low
3247,0.96,Premium,G,SI1,62.0,57.0,6.34,6.31,3.92,Very Low
3248,1.28,Ideal,H,I1,61.9,56.0,6.95,6.91,4.29,Very Low
3249,0.8,Premium,E,SI1,61.5,58.0,5.93,5.97,3.66,Very Low
3250,0.89,Very Good,F,SI2,60.2,60.0,6.18,6.21,3.73,Very Low
3251,0.77,Premium,F,VS1,62.7,58.0,5.82,5.88,3.67,Very Low
3252,0.77,Ideal,F,VS1,62.5,57.0,5.88,5.9,3.68,Very Low
3253,0.8,Ideal,I,IF,62.4,58.0,5.9,5.96,3.7,Very Low
3254,0.9,Good,H,SI1,63.8,58.0,6.05,6.12,3.88,Very Low
3255,0.82,Ideal,D,SI2,62.1,57.0,6.04,6.0,3.74,Very Low
3256,0.91,Good,D,SI1,64.0,59.0,6.13,6.02,3.89,Very Low
3257,0.74,Premium,E,VS1,62.8,59.0,5.76,5.68,3.59,Very Low
3258,0.74,Very Good,E,VS1,63.4,55.0,5.78,5.76,3.66,Very Low
3259,0.9,Very Good,J,VS1,60.4,58.0,6.22,6.27,3.77,Very Low
3260,0.7,Very Good,E,VS1,60.7,57.0,5.72,5.75,3.48,Very Low
3261,0.93,Fair,G,SI1,64.4,57.0,6.14,6.09,3.94,Very Low
3262,0.7,Ideal,F,VS1,60.3,57.0,5.74,5.79,3.47,Very Low
3263,1.02,Very Good,J,SI2,63.1,58.0,6.38,6.34,4.01,Very Low
3264,0.93,Ideal,I,SI1,61.9,57.0,6.23,6.21,3.85,Very Low
3265,0.78,Premium,E,VS1,60.9,57.0,5.94,5.88,3.59,Very Low
3266,0.7,Ideal,D,VS2,61.4,55.0,5.71,5.75,3.52,Very Low
3267,0.71,Ideal,E,SI1,61.9,55.0,5.74,5.77,3.56,Very Low
3268,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,Very Low
3269,1.01,Premium,I,SI2,61.5,62.0,6.41,6.37,3.93,Very Low
3270,1.0,Premium,H,SI2,59.4,60.0,6.55,6.49,3.87,Very Low
3271,1.0,Good,I,SI1,64.3,57.0,6.29,6.25,4.03,Very Low
3272,1.0,Very Good,I,SI2,58.3,63.0,6.53,6.5,3.8,Very Low
3273,1.0,Ideal,E,I1,63.0,57.0,6.35,6.32,3.99,Very Low
3274,1.0,Premium,H,SI2,59.8,61.0,6.24,6.17,3.71,Very Low
3275,1.0,Premium,I,SI1,62.2,62.0,6.39,6.33,3.96,Very Low
3276,0.51,Premium,F,SI1,62.7,62.0,5.09,4.96,3.15,Very Low
3277,1.0,Very Good,I,SI1,59.3,63.0,6.52,6.47,3.85,Very Low
3278,0.7,Ideal,D,VS1,62.5,57.0,5.65,5.68,3.54,Very Low
3279,0.82,Ideal,F,SI1,62.1,56.0,6.04,6.0,3.74,Very Low
3280,0.78,Ideal,F,SI1,61.3,56.0,5.92,6.0,3.64,Very Low
3281,0.8,Ideal,E,SI1,61.5,58.0,5.96,6.0,3.68,Very Low
3282,0.91,Premium,G,SI2,61.3,60.0,6.2,6.17,3.79,Very Low
3283,0.76,Ideal,H,VVS1,62.1,56.0,5.81,5.89,3.63,Very Low
3284,0.63,Ideal,G,IF,61.9,56.0,5.5,5.52,3.41,Very Low
3285,0.82,Good,F,VS2,60.9,62.2,5.97,6.04,3.66,Very Low
3286,0.91,Ideal,H,SI2,60.3,57.0,6.31,6.27,3.79,Very Low
3287,0.91,Premium,H,SI2,62.7,58.0,6.17,6.14,3.86,Very Low
3288,0.91,Good,F,SI1,64.0,57.0,6.17,6.08,3.92,Very Low
3289,0.91,Premium,H,SI2,62.9,59.0,6.15,6.12,3.86,Very Low
3290,0.82,Ideal,H,VS1,61.5,56.0,6.0,6.04,3.7,Very Low
3291,0.7,Premium,D,VS1,62.5,59.0,5.69,5.64,3.54,Very Low
3292,0.75,Very Good,E,VS2,62.3,56.0,5.79,5.84,3.62,Very Low
3293,0.95,Very Good,J,VS1,62.4,57.0,6.25,6.29,3.91,Very Low
3294,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,Very Low
3295,0.8,Good,E,VS2,63.3,59.0,5.82,5.87,3.7,Very Low
3296,0.74,Premium,D,VS1,62.7,56.0,5.8,5.77,3.63,Very Low
3297,0.71,Very Good,D,VS2,61.9,59.0,5.68,5.72,3.53,Very Low
3298,1.13,Ideal,F,I1,61.2,56.0,6.76,6.71,4.12,Very Low
3299,0.76,Very Good,H,IF,62.6,57.0,5.8,5.83,3.64,Very Low
3300,0.9,Very Good,F,SI2,62.4,57.0,6.11,6.16,3.83,Very Low
3301,0.9,Very Good,F,SI2,63.0,56.0,6.09,6.16,3.86,Very Low
3302,0.9,Very Good,F,SI2,62.6,56.0,6.13,6.17,3.85,Very Low
3303,0.8,Premium,F,VS2,62.0,61.0,5.99,5.91,3.69,Very Low
3304,0.69,Good,D,VVS2,61.5,61.0,5.61,5.65,3.46,Very Low
3305,0.8,Very Good,F,VS2,63.2,55.0,5.9,5.88,3.72,Very Low
3306,0.8,Ideal,F,VS2,62.7,54.0,5.95,5.91,3.72,Very Low
3307,0.73,Premium,E,VS1,61.2,58.0,5.77,5.83,3.55,Very Low
3308,0.73,Ideal,E,VS1,62.3,56.0,5.75,5.8,3.6,Very Low
3309,0.73,Very Good,E,VS1,60.9,61.0,5.79,5.81,3.53,Very Low
3310,0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,Very Low
3311,0.7,Ideal,E,VS2,61.1,56.0,5.76,5.81,3.53,Very Low
3312,0.9,Very Good,D,SI2,58.1,60.0,6.24,6.26,3.63,Very Low
3313,0.9,Very Good,D,SI2,61.0,61.0,6.15,6.17,3.76,Very Low
3314,0.71,Ideal,H,VVS2,61.7,57.0,5.68,5.73,3.53,Very Low
3315,0.71,Ideal,H,VVS2,61.9,56.0,5.72,5.76,3.55,Very Low
3316,0.9,Premium,H,SI2,58.3,60.0,6.34,6.31,3.69,Very Low
3317,0.86,Premium,F,SI1,62.6,58.0,6.01,6.06,3.78,Very Low
3318,0.87,Ideal,H,VS2,62.3,57.0,6.08,6.12,3.8,Very Low
3319,0.76,Ideal,G,VS1,61.6,56.0,5.82,5.87,3.6,Very Low
3320,0.71,Ideal,D,VS2,62.4,56.0,5.74,5.7,3.57,Very Low
3321,0.82,Very Good,E,SI1,62.0,60.0,5.96,6.0,3.71,Very Low
3322,0.52,Ideal,D,VVS1,62.1,54.0,5.15,5.18,3.21,Very Low
3323,0.81,Ideal,E,SI1,61.5,56.0,6.01,6.03,3.7,Very Low
3324,0.72,Very Good,E,VVS2,59.3,60.0,5.87,5.83,3.47,Very Low
3325,0.74,Ideal,E,VS2,61.7,56.0,5.81,5.86,3.6,Very Low
3326,0.7,Very Good,D,VS1,62.8,58.0,5.65,5.68,3.56,Very Low
3327,0.72,Very Good,D,VS1,64.1,57.0,5.68,5.71,3.65,Very Low
3328,0.9,Fair,H,VS2,65.6,55.0,6.01,5.97,3.93,Very Low
3329,1.23,Premium,F,I1,60.8,59.0,6.96,6.91,4.22,Very Low
3330,0.71,Very Good,E,VVS2,61.7,60.0,5.7,5.74,3.53,Very Low
3331,0.93,Good,F,SI2,61.3,62.0,6.17,6.26,3.81,Very Low
3332,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,Very Low
3333,0.7,Ideal,E,VS2,61.0,56.0,5.76,5.79,3.52,Very Low
3334,0.71,Ideal,E,SI1,61.7,55.0,5.73,5.77,3.55,Very Low
3335,0.91,Premium,G,SI2,60.4,61.0,6.28,6.21,3.77,Very Low
3336,1.01,Ideal,F,I1,62.2,54.0,6.42,6.44,4.0,Very Low
3337,0.79,Ideal,E,VS2,59.3,57.0,6.02,6.06,3.58,Very Low
3338,0.92,Premium,G,SI2,62.3,59.0,6.15,6.2,3.85,Very Low
3339,0.9,Premium,G,SI2,58.3,60.0,6.39,6.33,3.71,Very Low
3340,0.7,Premium,E,VVS2,60.6,60.0,5.74,5.72,3.47,Very Low
3341,0.9,Premium,H,SI1,62.0,55.0,6.21,6.17,3.84,Very Low
3342,0.9,Premium,I,SI1,63.0,60.0,6.08,5.99,3.8,Very Low
3343,0.5,Good,D,IF,63.2,59.0,4.99,5.04,3.17,Very Low
3344,0.5,Very Good,D,IF,62.9,59.0,4.99,5.09,3.17,Very Low
3345,1.03,Premium,J,SI2,62.0,58.0,6.47,6.52,4.03,Very Low
3346,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,Very Low
3347,0.62,Ideal,G,IF,60.3,57.0,5.54,5.61,3.35,Very Low
3348,0.95,Very Good,I,SI1,63.5,58.0,6.19,6.16,3.92,Very Low
3349,0.91,Very Good,E,SI2,63.4,58.0,6.15,6.09,3.88,Very Low
